,页码,评论者,星级,IP属地,评论内容
162,13,电子荒野,4星,浙江,有老粤语残片的精髓。
163,14,奥兰少,5星,北京,@小西天映后交流场。完全没有看戏曲的素养，也从来无感中国民间传说这类体裁。一年多前上院线，直到电影下映，才注意到影片的口碑。想大银幕看一直留到今天总算如愿。五折戏化入100分钟的容量，删去不少因果，于是开篇游湖和结尾雷峰塔都不免草草，白素贞的痴心也因少了日常相处的铺垫而说服力不足（甚至显得许仙挨那一巴掌都有些冤枉了，他只是迷糊了一下的凡人）不过这倒正应了“情不知起所起，一往而深”：白蛇传与牡丹亭，本来就是同一个故事。水漫金山一折真好，据说是对原戏改动最大的一段，甚至引入了西洋乐器。但两个身单力薄的女子奋不顾身，将自己对人间全部的悲愤与倔强具象为扑天而来的怒涛恨海，童年滤镜和左宏元加成的新白娘子传奇之后，白蛇传的故事第一次真正打动了我。
164,14,Quasar，,5星,山东,人到了一定年纪是会解锁新爱好的哈。真是美出新高度，传统文化真得顶。几位老师太牛了！
165,14,zosntn,4星,山东,粤剧腔调加古风特效，真的雅到极致了。希望国粹们能不断创新、与时俱进，而不是自视甚高、故步自封。当然，有些特效有点用力过猛，比如白许相识那段，搞得像是二十年前flash。总之，这样改编下去是很棒的！
166,15,格林童话,5星,新疆,大白真直接，小青真有灵气，这个服化道，这个画面特效，绝了～虽然最底层的逻辑是骗婚，但是那个年代这个故事核心是为了爱情反对封建礼教，也是可以理解人物动机的，水袖打斗太精彩了，法海是最讲道理的法海，佛法的威严太足了，年度十佳～
167,15,蔓越橘,5星,广东,许仙:人若无情不如妖，只要有情妖即人。自此心如磐石，一如最初。
168,16,红辣椒,5星,湖南,好好看，好感动
169,16,咕申克,4星,北京,戏曲电影，视效新尝试，值得一推。（内行看门道，美术指导李金辉老师真的是把创作和学术联系得很好）
170,16,天蓝蓝,4星,广东,很多影子飘过，比如日式庭院与和室，牡丹亭的花神游行，youshallnotpass....但还是有很精彩的部分，比如水墨山水、水袖打斗、经费在燃烧的水漫金山。这么一说，列出来的都是水，阴盛阳衰，考虑到是大女主电影倒也正常。
171,17,LeeLee,5星,广东,个人觉得有8.5到9分给满分是因为给了我惊喜除却文化传承这一说几幕下来景和意境真心美到别致开头的唱曲就非常引人入胜虽然觉得女主的声音过于尖了一点但搭上音乐效果挺好的里面的唱腔念词让我想起小时看的老港台片原来大家也不是都是现在这种中英夹杂的白话剧情上当然弱了点点不过折的拆分淡化了这种不连贯还有一点让我非常惊喜的就是打戏好久没看到这种实在的打戏了尤其是昆仑山上的那一段后面寺里舞秀的刷剑差一些不过舞袖太美了让我想起十面埋伏章子怡的那段敲鼓太美了！要说有什么不足的一是许仙一对比还是弱了些二就是锁进塔的情节有点太快了，没太铺垫好但是不妨碍它的惊艳！超级推荐！
172,18,南之禾,4星,广东,这特效放哪都不好使，唯独放在这里活像画中仙。诸如梁祝、白蛇传等故事我这辈子都不会听腻。
173,18,摇个不加粗,5星,浙江,戏曲改编的太美了，本就优秀的唱段，再加上这么好看的CG特效，锦上添花，经典曲艺焕发第二春，还想看到更多！
174,19,🍏,5星,黑龙江,看过
175,19,七彩云男,4星,云南,美轮美奂。。。
176,19,愤怒的瑞瑞酱,4星,北京,这种融合可以称之为创新，是真正建立在国粹之上的传承与开拓，不容易的！
177,1,十一伏特,2星,北京,伪装成粤剧戏曲片的三流网大电影。灾难级别的剪辑分镜，一句念白都能切换三四次机位，角色唱词时从背后或侧面拍，完全损失掉戏曲表演的功力表现。念白唱词总是和口型对不上，后期声音同步剪辑技术不达标，频繁切镜头恐怕也是为了藏拙。人物塑造趋近于零，白素贞只剩下恋爱脑，只为许仙而活，对于人间的扶危助困情节完全忽略。小青只是打手，法海只是捉妖。却偏偏花大篇幅留给打戏，夺灵芝、水漫金山都堆砌特效，已经脱离出戏曲表现的范畴。无法理解这种取舍，既没能很好表现戏曲，又没讲好基本叙事，追求特效能力又达不到。
178,1,田村卡夫卡,2星,河北,我觉得很没必要，不是画面好看，照搬就是好的艺术了。电影和戏剧是两个语言系统，如果想转变，那就应该确认一个语言来说，现在给我的感觉就像是一个外国人在用英文读古诗，不可能给人很好的观感。这是偷懒，不是这个常识不可能，是导演在偷懒
179,1,歹囡仔,2星,福建,从电影角度来看，拖沓矫情，全片就只是单纯的炫技展现视效，有点喧宾夺主了。
180,1,喜欢大雷的哥哥,1星,四川,国粹
181,2,昶秦颂,2星,北京,看不太进去，比较喜欢第四折的戏份和小青的角色。（小青的妆造也好合适）完全没办法把白蛇传当爱情故事。
182,2,真绪,2星,上海,一个Twins遇上Trump的故事。“爱情大过天。”“没有人比我更懂宇宙，而且我会建墙。”
183,2,鹿鞭野餐,2星,江苏,好听不好看
184,2,InvisibleHin,1星,广东,作为一个广州人，我最讨厌的就是粤剧。
185,3,逆旅夜行,2星,北京,可能从戏曲角度很厉害吧。但作为电影，真正看不下去，逼着自己看也看不下去，也抓不到到底戏曲美感和唱腔美感从何而来。
186,3,遗忘的森林,2星,陕西,补标，个人观影记录1000部标记
187,4,清风藤╰つ°,1星,湖北,戏曲电影终于脱离舞台的束缚，通过CG技术走向更自由的状态。
188,4,雪舞战龙,1星,北京,1分。实在看不下去。
189,4,拉达达达姆,2星,湖北,新瓶装旧酒
190,4,海边的查理,2星,山东,感受到经费在燃烧，感受不到作为一个电影的质感。
191,4,米高大伟,2星,北京,粤剧musical，了解一下。
192,4,不说再见,2星,浙江,好无聊的动画片
193,4,蝴蝶飞噜,2星,上海,白蛇传越看越有种小美人鱼的感觉，恋爱脑花痴的悲剧。对着荷花池，说春色潋滟？西湖边怎么会有阳朔桂林的高山？怀了身孕还再三劝酒是什么毛病？端午节许仙被蛇吓死？场景特效好似十几年前的虚拟壁纸。白蛇红唇艳抹实不相符，但不得不说严肃和惶恐的神情很美，小青俏皮可人但戏份太少，许仙长得像人形狐妖，法海肥头大耳不像吃素的。剧情缺少细节和说服力，全靠观众对故事的熟知而自行脑补。这拍摄和表演，我相信即便是中老年人也要看了掉一地鸡皮疙瘩吧！
194,5,June,1星,广东,魔幻
195,5,KINGKO,1星,广东,粤剧电影
196,5,李叔恒,1星,北京,CFAAS张险峰李金辉
197,5,长岛热茶,2星,北京,好难评，好难平，想洗眼睛，我真的是在看大银幕吗？不是打开了戏曲频道吗？
198,5,CommunistOrcas,2星,湖北,5分。4K+ATMOS版本特效其实一般，但美术真的不错，音乐在杜比全景声的加持之下也好听很多。但是，但是，作为电影来说，一定是不及格的，网大的水平能吹成这样也真是服气。影片一开始拍人几乎没有小景别，戏曲的演法搬到大银幕上尴尬无比。观感最好的打斗场面几乎没有对白，拍法也是最接近电影语言，如此看来，就能发现这个“戏曲电影”的位置有多么的尴尬了。真的求求戏曲和电影不要相互侮辱了，不是说两者孰高孰低，只是语言不通的东西做这种程度的结合，只能是供给老领导们的报告活动。拿这来唬观众，只能说大家觉得新鲜或者不懂行，不信你再多拍几部就知道了哈。
199,6,朝菌,2星,辽宁,还是有地域差异
200,6,二头肌,2星,北京,2023.2.24电影资料馆一号厅。
201,6,海边看仙人掌,1星,山西,我很庸俗，戏曲一点吸引不到我，甚至觉得反感。
202,7,momo,1星,山东,垃圾
203,7,切达芝士,2星,上海,孙悟空和白素贞可以对照着看。都是妖怪，男的断情绝爱以后修成正果，女的法力无边以后搞真爱至上。画面美到可以办主题乐园了，迪士尼不拍个公主可惜了。
204,7,小小玉,2星,陕西,我不管它是什么首部粤剧戏曲电影，既然是电影我就用电影的标准评价。剧情就是人尽皆知的白蛇许仙的故事，男女主舞台功底先放一边，电影演员和戏曲演员就不是一回事，这俩一看就不是拍电影的，看起来特别不舒服，台词也是戏腔，合在一起不伦不类。看戏人也难受，观影人也难受，何必呢？这个【电影】没有一点点像电影的地方，一星给创新创意，一星给中国风美术画面，美是真的美，内容我是真不行。就这样吧，之前期待了很久，终究是失望了。
205,7,付泉智,2星,美国,服化道再好也撑不起磨耳朵的唱腔
206,8,已殊,2星,浙江,看什么？看4K吗？？
207,8,∞,2星,瑞士,首先夸一夸CG效果和场景布置，但除此之外也没别的可夸了。目前为止我看过的所有戏曲电影，都有同一个通病，即不加取舍地照搬戏曲舞台表现（包括但不限于动作、台步、剧情），整一个多机位拍摄运镜的舞台录像；本片略好之处在于稍弱化了舞台感，但若想作为一部院线电影上映却还远远不够。最值得诟病的恐怕还是剧情，《白蛇传》的故事已有太多版本从太多角度进行过阐释，其中既有《白娘子传奇》这种民间故事、合家欢化的，亦不乏《青蛇》这种彻底颠覆性的，除却男女情爱外都对人性有更深层刻画，可本片只是机械模式化地重述了剧情，不带一点哲学思索和社会性反思，无缘由的与许仙相爱、与法海抗争，男女主口口声声的情啊爱的也很难使人共情，甚至使人生出“都这年头了还能为了男人要死要活？”的荒谬错位感。Ps.我现在看到男人谈女权就想笑。
208,8,浦东约德尔人,2星,上海,戏曲是戏曲，电影是电影。
209,8,彼得唯,1星,甘肃,不喜欢。古人真好骗
210,8,casa,2星,四川,好吧，戏曲和电影有天然的冲突
211,9,April,2星,北京,我永远在乎叙事
212,9,Dr0po7z_💫,2星,浙江,看得我昏昏欲睡，男主为啥一直鬼迷日眼的
213,9,micsal,2星,广东,哈哈哈，曲子好听，可惜了用在这老一套的故事上。b站也被女拳攻破了，弹幕严重影响观看
214,9,hench,2星,湖北,完全不知道编剧怎么想的小青小白的感情好怪再加上还有个不知道在哪儿的许宣遗留影响怪上加怪
215,10,Mailg,1星,上海,有些电影我真的不想评分，这部就是这种试图打造一个美字，而剧情立意全都没有新意的电影。我以为翻来覆去拍同一个故事，在新的时代里应该有新的解读吧，结果，这是个什么啊？古代书生意淫的故事就是狐狸精修炼几千年就修炼成恋爱脑了，也不想改变这世界，也不想去报复人类，对皇权统治权也没有兴趣，都长生不老了，天天就搁那对着一个人爱情爱情爱情的，故事还能有点新意吗？怎么到了21世纪还继承那套书生意淫的内核，没有一点改变？再者，白蛇与青蛇是最初的我们对于女性亲密但不是爱情关系的想象，结果小青成了白蛇爱情的助攻，白蛇为了个男人修炼千年的道行也不要了，自己和最亲的妹妹也困在这是非多的凡俗人间，精不成精，仙不成仙，图啥呢？图爱情对吧？我觉得对女性的狭隘想象莫过于此，真是太可悲了。
216,11,异食_East,2星,浙江,一星，粤剧加一星。戏曲的落伍与载体毫无关系，故事内核不改，谁来都一样。在人想做妖、自由自在的当下，仍在歌颂非人的妖甘愿遵人道的故事，实在影响观感。即便因为它是“戏曲”而原谅其观念的落后，“人成妖”与“妖成人”中间也差了一截新文化时就在歌颂的罗朱式的反叛：它实在太落伍了。白素贞此类“贞”的女性形象，与懦弱的男性书生，在女性尚未作为个体存在的旧社会，也就是在男人们的眼中，尚且成立，如今仍以原形象出现，不伦不类，能入得了谁的眼？粤剧此种为舞台与想象服务的体裁，即便是电影，也该追求背景的“不真”，而非这样影楼风的想真真不得，我每次出戏，都是因为想把背景拍成真的，而不是因为背景被拍得像假的画。至于被人赞美的水漫金山，与粤剧毫无关系不说，特效和僵硬的一来一回放在哪部中国电影里都会被淹没，真是莫名其妙。
217,11,1366,1星,广西,2.0表情极其做作，白素贞许仙都极丑
218,11,Mazurken,2星,上海,非常失望。此片人人皆开口谈“情”，但具体表现却飘渺架空至无法撑起这个“情”，特别是一开口就上价值不能忍。另许仙第一次见面就又是断桥又是竹林的，胆大堪比张三郎。
219,12,heaven导导,1星,陕西,你们真觉得好看吗，看了N次的故事加上唱戏我看着看着睡着啦
220,12,云胡不喜,1星,河南,不知道置景师在干什么随处可见的倭风置景，日本人看了都直呼牛啊，真的是脸都不要了，你是戏曲啊，这么倭，我只能说中华文化已死！！！！！
222,12,Sile,2星,天津,演员很漂亮很专业，导演和特效毫无审美做的和史一样，要不你们这群人重开吧，别做了一群猪
223,12,抗污染气垫122,2星,日本,两星都给戏曲…至于电影角度无从评起…
224,12,你给我少来,2星,江西,良心不能再多了
225,12,别看帕索里尼了,2星,浙江,太难看了，剧情还是建模
226,12,吾遛无酒腰舞,2星,浙江,只一味特效，舞美，戏曲特有的韵味都丢光了。
227,13,_mialiuuuuuu,2星,英国,画面美丽但看不下去
228,13,誰來馴服言物,2星,广东,……不敢恭维
229,13,万壑听松,1星,北京,五粮液广告超级加倍版
230,14,水千户,2星,山东,唔。。。也许粤剧编排老师们该考虑下受众被短视频荼毒过的注意力水平。
231,15,速度外正,1星,浙江,🤢
232,15,遇见,1星,云南,不好看，听不懂
233,15,dbdu,1星,广东,没看完
234,15,hackernelor,1星,北京,戏曲欣赏不了
235,16,超级悦悦,2星,河北,听的我头疼
236,16,夏沫,2星,湖南,首部4K全景声粤剧电影，取材自民间故事《白蛇传》，那白蛇的故事，远久流传...白素贞修炼千年，只为人间寻那许仙，再续兰因前缘。说什么人妖殊途，法理难容此爱恋。
237,17,豆友mFEKIlqA8o,2星,河北,因为喜欢你，所以喜欢你所有的任性和小脾气
238,17,重新开始,2星,江苏,给这么低的评分绝不是品质问题，制作的非常好，戏曲做成电影也是创新和推广，只是，如果抱着这种态度，中国戏曲和电影迟早完蛋！为什么呢？白蛇传的剧本故事拍了多少电视剧和电影了？去年我光看动画电影就有两部白蛇传题材，这种剧本真的是拍烂了，难道中国真的没有编剧？西游记和白蛇反复的拍，创新一个新角色为何这么难，这么多人给高分不过是戏曲形式的创新，换汤不换药罢了，还不如百老汇舞台剧汉密尔顿
239,17,Atopos,2星,四川,一般般
240,17,奕万星辰,2星,广西,好看
241,18,双分君,2星,江西,还是接受不了纯戏曲的内容🥺
242,18,旧欢如梦,1星,四川,什么鬼?
243,18,逮马仕革,2星,安徽,没说的那么好，略显生硬，剧情和动画都
244,19,晴,2星,湖南,一分给演员，一分给服装造型，不能再多了
245,19,Bob doc,2星,江苏,一般，还是电视剧的白蛇好看
266,16,请尊敬王道长,未知,北京,被戏曲片的特效惊艳到
