Column1,Column2,Column3
空山有鸟语,女,去电影院看的时候意外又幸福的变成了包场，真的好看！
Mr_Buddy,保密,[热词系列_好耶]
虚生元气,保密,当年跨年晚会被惊艳到了
该用户未设置哔哩昵称,保密,冲冲冲
Zeppelin42,男,顶级夹子（别骂别骂开玩笑的）我都系广东人，阿爷经常放帝女花噶[脱单doge]
许墨秘密情人,女,好美好美好美！！！！！
胖20,保密,我真的不喜欢戏腔[笑哭]不好意思
Ornn1983,保密,我睡不着的时候会看这个
若言_RY,男,很喜欢白蛇传的粤剧版，之前就有听过，很喜欢了！这个电影版真的一瞬间就被他吸引住了！真的是国粹了！
胡子渣渣很邋遢,保密,看了开头，画面很美，但是演员的表情怎么看出了恐怖谷效应
叮当一想,保密,我们这边排片极少，大多还在半夜。真是服了
Edison小稀饭,男,看了6遍了[呲牙]
Niki-Mai,保密,00后真的会爱粤剧
diu侠,男,歌舞神剧
三高啊啊啊,保密,确实美
船长的漂流瓶,保密,美啊！
正在获取昵称请稍后,男,挺可悲的一件事，当初上映的时候我很想去看，然后约了同学和同事，她们都表示不想看这一部，宁愿去看国产爱情片或者爆米花电影。(同期上映的国产爱情片票房都是按亿算的。。。但是吧，你们懂得)
钟形罩瓶,保密,久仰大名[抱拳]今儿才算见识了！
我信-,女,听着耳朵很舒服真的
horiktia,保密,我擦，当年找了电影院看的，院线上映的没几家，都是小电影院才放，很震撼，虽然我室友睡着了，但是我很喜欢。[打call]
ah729,女,粤剧[tv_笑哭]
我想暴富买螺蛳粉吃,保密,我看了，嘿嘿，是我和男朋友看的第一场电影，这部电影可好看可感动了
章鱼妹李兰巡演已开票,保密,有幸带了奶奶和她的三个妹妹（我姨婆）一起去电影院看了，当时整个厅加上我们四个人一共6个人[笑哭]
Shandy丨,女,白蛇也是一个被大量再度创作的民间传说，还比如动画电影白蛇缘起。
阿炭aaa,女,这个超好看
腿软的帝国政委,保密,好看，真滴不错[OK][OK][OK]
石城ジ海角,保密,几有新意噶，补住晒传统舞台大戏嘅缺撼，开始时点样都冇听到锣鼓嚓嚓嘟cang（找不到合适的字），仲葛得少咗d味道，点不知立即就听到啦[喜极而泣]
发愤自为雄健,保密,犀利
色蓝目,保密,看不懂[呆][给心心]
荒诞原始人,保密,我和我男人当时特意去电影院看了！现场感觉真的很好！
zjh小水,保密,这啥 戏剧吗
Yaya魔法师,女,在电影院看的时候控制不住一直哭，从开头哭到中间，到许仙和和尚走了就不哭了，是的我很讨厌许仙[OK]，后面总觉得许仙不值得白蛇那样，有伪善感
niekonieko,男,有没有一种可能，许仙欠白娘子太多了，所以日后（就投胎成了柳毅，而白娘子修炼成功，转世成了龙女三娘（别打我，这样子的逻辑很合理吧？
闵轩,保密,昨天在哔哩哔哩上先看的粤剧舞台版“白蛇传·情”，超级好看。今天发现有电影版，于是充了会员专看它。刚刚看完，画面太唯美了，好看，改编得没有任何违和感，和舞台剧珠联璧合。作为北方人，竟然喜欢江南的昆曲，在上海经常看昆曲。后来在网上听到粤剧“燕子楼”，讲得是唐朝徐州关盼盼的故事，突然感觉粤剧也这么优美。去年一月份寒假特地跑到广州的广东粤剧院 看了三场粤剧。
闵轩,保密,能不能只买此剧，不买会员？
几更醒,保密,水漫金山那段一直卡
序影星空,男,好！！[给心心][给心心][给心心]
苏不忙,保密,买了大会员看了，很好看！满分
早安啊小猫咪,保密,希望能出更多这样的戏曲电影
FourSeasons喵,女,老师们的戏剧功力深厚，情感饱满，唱腔扮相服饰无不精致，画面更是唯美，看完仍余音缭绕，一流佳作，必须收藏！
痴迷智者,保密,表现力好棒啊
flower0511,保密,好看，好看。太好看
Yoziee,女,呜呜呜呜真的好好看啊[大哭][大哭][大哭]
Ravenclaw畑鹿惊同学,保密,二刷来了
升音好听,男,太棒了
奔跑吧肥妹妹,保密,再看一遍，很是值得
星雁r,保密,[热词系列_吹爆][热词系列_吹爆][热词系列_吹爆]
浮世一混子,男,好看
阿枣78,保密,我是广东人，对粤剧一般般。刚看完，好感动，好好看！
詹娘娘天神下凡,保密,哈哈哈哈，免费了
kenlin2828,保密,希望各大院线重新排一次期给这部电影[墨镜][墨镜][墨镜]
Graceiily,女,广东人[热词系列_打卡]
JenovaMax,保密,虽然我不喜欢歌剧，不过欣赏下国风画面和现代拍摄水准也是不错的。[脱单doge] 投币了
一战道地,保密,要是我外婆还在的话，她一定会非常喜欢的[大哭]
迈向新时期,男,从奥奇传说手游的粤剧联动版本过来，刚好也有白蛇传的内容
云在丨指尖,保密,和老一辈传统的粤剧有所改变，为了迎合年轻人的市场吗？看惯了传统戏剧总觉得怪怪的。
禾卡夫卡,保密,我这里二线城市电影院没有排片，幸好B站能看
_啊啾啾啾啾_,女,我靠 小破站太牛了
耶律狗蛋,保密,看完现场版回来留个言，院长不愧是院长，现场看完一本满足。
luckyiboy,男,去年520看的，好的电影片场安排的非常少，跑半个城市看的[呲牙][呲牙]，真的是这几年看过最好的一部电影，当时真的震撼到了
快快太太,保密,这部剧的特效，舞美，音效是谁！给我滚出来！！接受我的滑跪！！！太tmd好看了。救命！！半戏曲爱好者狂喜之作！！！！救命救命！！院长杀我，唱腔又脆又娇，重点是表演真的好好啊！！！我哭了好几次，最后小宝宝出现直接泪崩！！！！太好看了。5555
爱下雨的胖熊,保密,法海就不是啥好人。。人家许仙可以修道，为啥非要和你们这帮秃子在一起？道士头上是三圣人，不是如来那个死秃驴
爱下雨的胖熊,保密,法海就是坏，让人家生孩子咋了
vampirecowcow,保密,可惜了，上映没看！好看！
Triton0309,保密,#白蛇传·情#弘法利生
稻香虾滑鸡翅,女,开头也太好听了[大哭][大哭][大哭]
稻香虾滑鸡翅,女,画面真的好美
vegetableswim,保密,"#白蛇传·情#
[委屈][委屈][委屈]"
帅哥小一,保密,太美了
洋芋日常,保密,月末快没流量了就看了个开头，我已经开始恨为什么上映的时候我不知道，在影院看肯定超级棒
M-770,保密,呜呜呜，什么时候越剧也拍这种类型的电影就好了！！！
pankayu,保密,粤韵风华
橘长是只花猫,保密,@广东共青团 团子，为数不多的粤剧电影，不帮忙转播一下吗[奋斗]
怒斩天门,保密,没办法一次性购买吗？
岐然的归途,保密,为啥一听到粤剧老感到恐惧，这么多年了，看来楚人美对我的血脉压制还是那么清晰。
8th字母小凡,女,小青：我不应该在车里，我应该在车底
Withoutinterest,女,这个特效太惊艳了
benjaminkong,保密,壮哉，不曾想父辈钟爱的粤剧有此创新发展，经济发展的大环境，一代代粤剧人的坚守，不懈的艺术追求，都在此片融为一体，剧情来说，情字恰如其分，人物非常丰满，请重映，我要补票！
为弹幕而生的账号,保密,法海还是很讲道理的
小圆丸子235,保密,请这片里的布景才像是神仙住的地方
珠世小姐i,保密,中国的文学真的好美好美，山无言，水无心。
嗜睡的村民,保密,感谢这部电影让我重拾了白蛇传带来的对爱情奔赴的美好，看得我眼泪哗哗的。
chunjf,保密,天哪拍的好美！！
赤火小猪抱的梁,保密,早就想看了 b站如果作为学习的地方是真的不错
隐形兽小酱,男,下周去剧院看现场版[脱单doge]
图灵之巅,保密,绝  美国风……
达奚飞雪,保密,豫剧白蛇传更好听，看的人眼泪哗哗的
于氏牵着你,男,怎么有点黄梅戏的味道[doge][doge]
折原封鳴,保密,有弹幕说许仙是莲花，而白蛇的救命恩人其实是那个采药小生才对，从小生的女相来看，是不是白蛇真正的恩人是青蛇[脱单doge]毕竟传说青蛇喜欢白蛇，并且还是条雄蛇[傲娇]青白一起就没有这么多冤孽了，反而是妖中眷侣，说不定以后还是仙侣[洛天依]
阿其所好,保密,希望看到更多的粤剧制作成电影
--又甘又刻--,男,B站牛逼！！！！！
天使沉默无语,男,谁拍一下小青火烧雷峰塔救出白素贞，法海躲进螃蟹里去的这个结局
男德标兵,男,来哔站宣传是来对了
斗战胜佛孙悟空他爸爸,保密,这东西你跟外国人说一万年他也不理解
账号已注销,保密,希望出个普通话版，让我妈也看看~
是钱毛毛啊,保密,这不是枯山水吧？人家这石子还是石子，没有代替水啊，是纯粹用来铺路的吧
别动我的麦丽素,保密,存着回家和爷爷奶奶一起看[吃瓜][吃瓜][吃瓜]
只要半分钟,保密,好看好听，希望广东的年轻人多宣传粤语传统文化。
好歴者,男,广东人打call[歪嘴]
部长jimlee,男,我就很奇怪，虽然我是北方的吧，但当时那么好的电影，包括万达一个影院都不排片就很奇怪[辣眼睛]这部电影当时在网上也挺火的啊。
逢场小憩,保密,确实很棒了！
coco-喻,男,太强了，这部剧大爱[脸红]
时及云起,保密,为什么一卡一卡的呀，手机和电脑都是
panpanhuang,保密,唱腔好好听吖，扮相俊、美，演员很棒[鼓掌]
-韩天尊-,保密,又美又好看！
NatalieKing,女,电影已经看过了，好看！还买了11月的舞台版的票，坐等！期待！
我爱艺术概论,女,白素贞修炼千年，只为见他一面，追随百年。一千年来白从蛇形一点点炼成人身，这其中的苦难也只有白一人清楚一人尝，亦没有君常相依傍。往深刻了说，白并不全是为许仙一人而苦修千年，而是为了人间一个情字而修，为了感受人间的真善美而修。站在凡人角度看待许仙的成长历程，发现亦是如此，纯粹的热爱和真情是双方的追求。千年的苦你不必知道，我背后为你默默做了什么也不必全知全晓。重要的是我用这千百年的血汗才换来了与你相遇的缘分，所以你的一言一语，我有认真聆听；你的一颦一笑，我有观察留心。我在助你朝着理想前进同时，也是在助我自己朝我的理想靠近，这一切都是为了接近你，接近心中理想。所以为了你，为了心中理想境界，方能舍生忘死！
小羽贝纳雷斯,保密,还是靠科技支撑呀，并没有看到突出核心的东西，京剧之类的传统曲目基本上到了70后之后也就消亡了
往人间赊一春-,女,很好看很好看[鼓掌]
土人一架,保密,这是中国古代的爱情故事[喜极而泣]
迪珊,保密,好美啊，好像水墨画
亲爱的牛鲜花,保密,还记得当时在长沙一个人去电影院看了，整场只有十几个人，但是我从头到尾欣赏完了，不管是特效还是唱腔，虽然我是个门外汉，但是真的觉得很美很好听啊，去年在b站上映后，是要单独收费的，6块钱，一直都没重温，今天点进来发现已经可以直接看了，真好，继续收藏了#白蛇传·情#
是个小姐姐呀,女,这种七分都算高的。
最大的星球,保密,反派的青白蛇 可笑 法海是个好人 就苦就难居然把他搞得像反派一样 我是真的看不懂了。
晷阿,保密,刚看完舞台版。真的各有各的好，都值得看看。打戏一气呵成太绝了
归涧还林,女,深圳坪山大剧院9.24的场次，买了票不想去了，免费送，想要的联系我
忆辰尘,保密,今天刚看完舞台版的，再过来看电影版的重温下 太美了
鲤鹰,保密,从看到预告就开始期待，可惜我们这边没有排片，终于可以在线上看了，景色真的超级漂亮，特效真的做得很好，我不懂戏但是觉得戏剧特色真的也很好，真是超级棒的一部电影了，能看到这样一部电影真好啊。[星星眼]
碧落琥珀,保密,这么好的电影居然不知道，传统文化的宣传需要加油
Camillor,保密,什么时候什么时候出部梁祝呀
鬼神言,保密,期待下一部
星期八的美好时光,保密,确实看哭了，白蛇感情至深，许仙是懦弱但是能感觉到深情，在这次改编中的法海，一方面表现出刚正不阿、能力高强，降伏各路妖魔鬼怪，泰山崩于面前而不改其色，一方面又显露出佛门的慈悲，一直都劝白蛇离开就好，佛门弟子也始终没有伤及她性命。尤其是打斗的戏太经典了，白蛇青蛇一腔孤勇至死不悔，佛门的威严和武力值尽显。
拖拖图,保密,这是艺术啊！！！
爱吃草莓两三斤,女,假唱？
壹对皮蛋,保密,可惜这部剧不在香港大量宣传海报
杨1大,保密,不能单独购买么？
芙莉儿_Fulill_,保密,唉 这世道真能变呐 ，想着 白蛇传 说在明朝的时候只是大白蛇见色起义 ，法海大师，将其收复的故事，结果到清朝的时候是大白蛇就变成报恩的了 ，原本书中正义的法海反而成了反派[笑哭]
超级麻里嗷_,保密,之前在广州上映的时候恰逢疫情 电影院都关了没看成 遗憾了好久T T 今天在B站上看了呜呜呜呜呜呜呜真的太好看了[大哭]
彼岸花32,保密,#白蛇传·情#
断浪_-,保密,戏剧不是国风，神话更不是
小小雅馨001,保密,好精美啊，太棒了
45阿,保密,回看古代，才能有这么悲壮的爱情观。以前的人把爱看得很重，很重。失去了，要等百年千年才能重遇。你以为一辈子，真的就是下辈子吗？所谓下辈子，可能要历尽多少个轮回才能重遇相爱？珍惜吧，过错了就遇不到了
勾孑,男,盘州人拜赏，希望粤剧（帝女花）也能出电影版
老野吖,保密,试着接受不一样的文化嘛，没必要看到不一样的的东西就急着宣泄自己浮躁的情绪
魂奇黑捷斯,保密,最后的唱段我特么一口气看了5遍，太太太太好了[打call][打call][打call][打call][打call]
魔方茶壶,保密,整体质感真是棒
WANG冠希,男,@混森清梦 老程，看看这个粤剧，真的可以
惊鸿一剑满霜寒,保密,唱得好好好好好好好好好
啊这个么,保密,了不起啊
归途难问,保密,台词有点太通俗了，感觉不能用戏曲的标准去评价这部作品，因为它本质上是一部古装电影，只是掺杂了戏曲元素。从这个角度看，顿觉舒服多了。场景美轮美奂，故事也称得上精彩，算是挺不错的电影。虽然算不上真正的戏曲，但仍值得一看。
莲蓉包没馅,女,字幕太小了，怎么调啊？[登门喜鹊_emm]
夏虫不语冰__,保密,会重映吗？[委屈]
SaraRWBY,保密,昨晚看了现场舞台剧，超级棒
啊噗啊部啦,女,她可是曾小敏啊……唉
物知朔泓,女,这么好的电影我才看，好在看了。[给心心]
第一人参赢家,保密,刚看了几个这位主演院长的塌房视频，说她不好的[笑哭][笑哭][笑哭][笑哭]
亮亮和丽丽,女,必须投俩币！
亮亮和丽丽,女,简直被惊艳到了
亮亮和丽丽,女,我来啦！！
账号已注销,保密,如果可以实景拍摄就好了，这背景有点假，经常出戏[保卫萝卜_哭哭]
clement933,保密,这电影 很不错！！！！！
彩虹果冻rrs,保密,在影院看真的是极致的享受，用电脑看再怎么样还是比在影院要差一些，这个电影各方面质量都很高，完全不比国外的经典音乐电影逊色，我一个不太爱听传统戏曲的看了以后完全刷新了观念，看了好几遍，可惜我们现在这种能完美融合传统艺术和现代技术的电影还是太少了，不然何愁传统艺术的传承发扬
草莓里的霉,保密,看完真的深深震撼到我了，从来没想过原来我们的戏剧也可以拍的那么美。我后悔，后悔没能看电影贡献票房，没能亲自去看现场领略粤剧的美，真的感谢一路坚持的戏剧演员们，是你们造就了这部旷世的作品，曾院的表演真的令人赞叹不已，其他的演员也是如此，希望有机会亲自去看现场版[tv_大哭]
醉月狂客,保密,这剧一投屏就卡死，不知为何。在群聊里面发这消息，居然被吞了
明晰先生,男,他人即地狱，不若入全真。
橘里ju气惹w,保密,太好看了
小橙子121388,女,强行信教
焱尚祭,保密,戏曲舞台逻辑的创新，一点违和感都没有，而且还很新颖，跟布袋戏科技感觉很像，个人是觉得好评的，至少从戏曲走向国际舞台脚步而言，这一步必不可少
Zoulill1108,女,真的太棒了，这部剧！太美了！古画中分水墨留白，这种影视表现的真的太绝了！太有中国味了！
哔哩嘀哩驴驴,男,"醉了,才发现今天七夕,我居然看这个[大哭]"
加油学习把,保密,电影院看过
鲤鱼瞳HiTOMi,女,传统戏剧跟进时代的一份完美答卷啊[保卫萝卜_哭哭]好美好美，没看过粤剧也觉得拍的好好，当时把这个电影给忘了，好恨
神兽lily,保密,最喜欢这首[大哭]87：32
飞来爬去,男,看这片的人已经很老了，快走不动了
破晓在东方,保密,会有第二部许仕林救母吗？
希望明天还能遇见你,保密,如果再出一部《梁山伯与祝英台》就更好了
李成CZ,保密,太美了 ！唯美爱情
xlbmh,保密,青白的衣服真是好看死了
孤鴻寄語黓龍君,保密,片子各方面都好好。把法海拍的很理性，我觉得好合理。为了白和许双方都好。
珅某,男,看不懂
创意中闯荡未来,保密,去年上映的时候，想去电影院看电影，但同期的没啥好的，不知道看什么，很喜欢白蛇传的故事，就抱着猎奇的心理买了票，也是第一次听粤剧。当时整个场除了我，就只有零星几个中老年人[笑哭]不成想挖到宝了，视听和艺术的双重享受，绕梁三日
账号已注销,保密,看了这个电影以后，我脑中的白娘子小青的形象由赵雅芝陈美琪变成曾小敏朱红星了
账号已注销,保密,美绝
账号已注销,保密,真好看
桃子不够脆,男,平时听昆曲京剧多些，粤剧初体验直接拉满！看得我眼泪直流[大哭]期待新作！
冲上云霄九万里,男,广而告之：明晚7.29日20:00敏宝在抖音直播间直播。敬请广大粉丝们一起关注！[喜欢][打call]
wuwenmei,保密,后悔没去影院看[大哭]
pinkyqaq,保密,11:18 小青，揍死他 揍死他喂  全剧终[doge]
pinkyqaq,保密,11:18 小青，揍死他  揍死他喂[doge]
pinkyqaq,保密,小青，揍死他 揍死他阿[doge]
开完二技能的夏侯元让,保密,王者皮肤应该按这个标准来
如何不是安全感,保密,早知道就去电影院看了[笑哭][笑哭][笑哭]
卉桥梦,男,对于我们这种非戏迷去看，抱着一个看戏曲的心态去看；对于戏迷来说就当是去看一部电影，就完全不一样了，一下子打开了新世界
梦到内河理,保密,不知第几遍看了
OXFordshir,男,纵是未见，感觉像在鬓边
九泮曲离,保密,真的太好看了，哭死
V5晓寒,男,大威天龙
桂邱秋,男,[给心心]
我好歹是个大人,男,反复看！真的绝美！爱上粤剧的艺术片！[脱单doge][打call]
可爱的万大宝,保密,在电影院看了，来这里再看一遍
市民梁某,男,骂许仙渣男的，这种超出你理解范畴和审美水平的艺术作品不适合你，麻烦关闭网页，然后另外打开一篇霸道总裁爱上我的爽文，不谢
独立开发日记,保密,演得真得强，唱得真得好，就是编剧有点迷
猫丞丞zcx,男,中国终于有特效大片了
山棉花,保密,"哪天
佛陀花开
你我再见#白蛇传·情#"
圆羹喵,女,"其实现在想想，许仙害怕也是正常的。就算白素贞没有吓到他，但忽然得知枕边人是蛇，谁不会害怕呢？
啥？你说你不怕蛇你就没事？
那你想想，假如你突然知道你老公/老婆是蟑螂变的呢？[doge][doge][doge]"
云山焰之树,保密,9.9的高分[星星眼]
生生说,保密,在影院看的，觉得还不错，和我一起去看的长辈非常喜欢。
良朗月,保密,能单独付费吗？好想看[星星眼]
温水煮咕萱,保密,水袖真的好美[tv_大哭][支持]
素纱醉花颜兮,保密,这版法海真的最爱?ヽ(°▽°)ノ?
Real_Mirage52Hz,保密,看完了，好爱[小电视_哭泣][小电视_哭泣][小电视_哭泣]可惜当时封校出不去排片也少
孙悟空是我大哥哥,女,大爱#白蛇传·情#
没机会的风格,男,[Gon的旱獭_精彩]
远东折磨鱼,保密,我就说一句：能额外开通付费吗？营收分给制作方，我补一张电影票。
远东折磨鱼,保密,"这个片子我等了很久，想着一定要去电影院看，但是排片太少了！不是每天都有，小众电影院上映。
做得真是好啊"
DBoom,保密,希望有更好的剧出现，这样的模式很吸引人
冬眠的小狮子,男,这部剧的艺术成分很高啊，很高很高很高很高很高很高很高很高很高很高很高很高啊！[热词系列_知识增加][热词系列_三连]
现世あ罪惡,保密,为啥都是佛门弟子，身上都是黑气笼罩
逝去的远方,男,BV1434y1U7P9
GZkingchan,保密,真系估唔到粤剧一个曾经好痛苦（当年同阿爷阿嫲争电视）的传统文化经过一翻重新包装比好多的新的电影电视剧要好睇好多，画面唯美音乐动听。好期待后边有新的剧集
v楼下的你,保密,听不下去啊，
限定春日桃,女,好看
谲语,女,srds我不太懂为啥有人想得那么复杂那么偏门儿……
素颜修行的人,女,真的太美了，东方美学典范，妆容，服饰，唱腔，舞蹈，都真的很美，真的很不容易呀
球球卡住了,女,冲
小波学长,保密,幸亏我去电影院看过了，有些场景电影院那个大屏，看起来超级震撼的[妙啊]
云淡月梳945,保密,好看
大美梨子,女,哇，真的好好看啊
心筑情巢莫召奴,男,#白蛇传·情#再看一遍，还是泪流满面。赶紧多拍这类型的剧，广东人感觉好喜欢，好自豪[给心心][给心心][给心心]
小小青皮,保密,当时一直在等这个片子，结果我们这边没上映。没想到一年后在这里看到了
沪上阿姨加盟代理,保密,大会员可以投屏吗？
仞天涯,保密,多少受女权主义影响，在妇嫁从夫的古代，小青可以给姐夫一个大逼斗，许仙和娘子说话要跪着，刻意凸显了女性地位，加强许仙的“软蛋”特性，多少有点膈应。开上帝视角对许仙是不公平的，白青两的行为，搁现在叫“骗婚”，身为凡夫俗子的许仙，从小到大听说过多少妖怪吃人的故事，知道自己娘子是蛇妖，第一时间情感反馈是正常的，话说他做错了什么呢？编剧能不能让他站着把话说完，作为对比，赵雅芝仙童版剧情和人物关系就合理通畅许多。演员表演、画面一级棒，给传统戏剧做了一个好的师范。
子桓Piano_Cello,男,爱上听戏了因为这部电影[大哭]
瓜熊瓜瓜瓜,保密,帧帧壁纸，我以为画出来才行，没想到电影也能拍成这样
圣断不周山,保密,首先本人不喜欢戏曲，其次，特效吹的挺厉害，花钱看了一下，就那几个不多的镜头，也就那样……
渝豫vv,保密,非常自豪的说，我是去电影院看的[保卫萝卜_哇]
-某上升的科学气流-,保密,粤曲？好耶
墨言茗香,保密,"分享一下我比较喜欢的唱段
3:30蓝蓝天
7:40趁好天时
16:40 两人对唱
28:14 痴已心中栽
59:30 情未央
84:50 情重天可悯 （与?楼台会?曲调相似）"
蓝珏宇,保密,很多人说许仙渣，说许仙是白娘子的劫难，但我觉得白素贞才是许仙的劫难吧！一个普通人无亲无故，难得遇到一个爱人而且又快有孩儿，但突然被告知你的爱人是蛇妖还会祸及人间，不给思考的时间就被拉上寺庙困起来；孩子他娘来抢他而现出真身，这时候他才真切的知道妻子是蛇妖，但看到妻子不顾一切来找他，本来混乱的思想清晰的知道自己是爱她，才会说出：人若无情不如妖，只要有情妖亦人！本可以娶妻生子普普通通过一生，遇到白素贞只能自己养育孩子终生守在塔前，为了他白素贞水淹金山寺导致生命涂炭（水那么大，你们说没淹就没淹，不敢反驳），他的幸福他的一生又有谁来负责？
rongyie,保密,太好看啦 太喜欢了 从小就在村里看 这个真的耳目一新  真的太棒了[呲牙]
布冷宫宫主,保密,大威天龙 大罗法咒！
卷毛狒狒3714号,男,白素贞水漫金山被关一千年，孙悟空大闹天宫压了五百年，what？why？
李洛李洛洛,男,弹幕有人说中国神仙为什么不站着飞，我想说白蛇这样飞才能体现救人急切的心情[OK]
idlbi,保密,请问当时我花钱购买了这一部电影，当时没看现在又要收费，是有时效性吗？
冬至小龙,保密,多来点
7匹驹,保密,好想单买啊
同名真难,保密,小地方不排片，真的很遗憾没在电影院看到
同名真难,保密,这是艺术品。是艺术品
抱着enna上天堂,保密,免费了，那再看几遍嘿嘿[原神_喝茶][原神_喝茶]
局外人上山,女,评论区那么多大谈戏曲艺术的，都买票去电影院看了么，笑死，这电影票房惨淡得很，平常天天说支持传统文化，不见你们去电影院看，这一千万播放，要是每个人都去电影院看了，票房少说也好几亿了吧。
三哥自挂东南枝,保密,终于等到不收费了，感谢b站
爱上一个唔钟意你的人,男,这一部白蛇传情拍的非常的好，曾小敏这部电影观看人数提高，真的太好了。太经典就是水漫金山寺那一段打得我非常好看，非常过瘾。到最后感动差一点哭出来。演技太棒了，（呢部白蛇传情拍嘅好好，曾小敏呢部戏观看人数提高，真系好嘞。太经典就系水漫金山寺嗰段打到我好睇，好爽。到最后感动差啲喊咗出嚟。演技太好了，）
糖蒸酥酪yu,女,专门充了个大会员看，真不错，值得。看了好几遍
爱上一个唔钟意你的人,男,这一部白蛇传情拍的非常的好，曾小敏这部电影观看人数提高，真的太好了。太经典就是水漫金山寺那一段打得我非常好看，非常过瘾。到最后感动差一点哭出来。演技太棒了，
战神食铁兽,保密,说实话不是粤语区的我靠旋律和美术提神 怎么说呢很好的一次欢影体验
prince-cui,女,2022了我还能在电影院看到吗？呜呜呜，21年没看真的错失一亿[大哭]求重映，拉上我的兄弟姐妹去看！舞台版和电影版都很绝啊
涂钦月儿,保密,好剧，传统文化得以传承
Mr宝宝0,保密,值了[大哭]
月之华丽,保密,可以投屏吗
账号已注销,保密,杭州雷峰塔都让白素贞和许仙团聚了。电影里最后啥意思，没看明白。
账号已注销,保密,我就想问问创作方，最后是不是花开团聚了？那必须演明白呀！大喜事岂可不演。
尘-云子,保密,这一版，个人来说对许仙和法海的好感高于白蛇和青蛇。像之前一个网友说的比喻，法海算是执法者吧。你那天发现你老婆是个违法入境【擅入凡间】，并且持有大规模杀伤武器【法力】的外国人。并且犯了杀人【吓死许仙】以及入室盗窃【昆仑盗取仙草】等罪。最后因为你们之前的爱情，报复社会【水漫金山】来要求你们可以在一起。想想都恐怖。因为白蛇报复社会【水漫金山】死掉的那些无辜生命，简直无辜冤枉到极点。都水漫金山了，山下没有人和其他生命吗？这又死伤多少？这次是水漫金山，万一未来有出现个啥意外，是不是会出现水漫杭州或者别的？
山东大汉得到,保密,怎么下载
山河统一海内同庆,男,因为这个电影充的大会员，人物场景美轮美奂，故事情节感同身受~[打call]
够了擀面杖,保密,登峰造极
锡白白,男,好！好！好！
人工湖回复,男,神作
微笑月亮团长,保密,看了这么多版本的白蛇传还是感觉刘涛潘粤明这个版本的最好看，这一版的许仙也是最有骨气的，尤其是结局时许仙扫塔，白蛇撑伞的那一幕，哇塞了
luodashuang,保密,[支持]
kkklllll_,女,特地开了大会员支持[tv_亲亲]
eudbeowhbru,男,我大抵是病了，看了电影后横竖睡不着，坐起点了一根烟，院里传来狗叫，我站起身查看，努力想找到那只狗，可定睛一看，却只得一院杂草，再仔细想想，我大抵是那条狗罢了
栗子塔_-,男,我这种听不来戏剧的，看着看着就困了...不过挺新鲜的，特效向戏剧。
月舞傲麟,女,有没有人和我一样，一开始看到戏曲想退出，但是看着看着就看完了的[doge]（甚至明明是已经很熟悉剧情）
陈欣快来看这个,保密,为什么卡卡的？
呃呃呃吃饱了,保密,去dy看了法海[doge]，是个健身达人，怪不得这么壮[doge]
wo1011,保密,这电影可以在国外拿奖了??
又要起昵称啊,男,我终于等来了免费！
夙念瑶,保密,喜欢场景，
你的大叔DD,保密,不听戏，就当电影看，两年来最好的。
Ordinaryfriend,男,这次我放弃了
自由穿梭于,男,法海规劝那段以为在听双飞燕[吃瓜]
努力勇敢yayaya,女,打戏特别好看，干净利落[打call]
二十岁领养老金,男,害我又相信爱情
冬二君在大阪,女,怎么才能收藏阿
柯里昂黑手,男,大雅
一只愚蠢的霖冥,女,真的太好看了 中间尤其是取仙草更是看哭了
UID359144439,男,我建议拍部 大闹天宫
账号已注销,保密,三刷[脱单doge]
牛牛不是牛丶,男,这种形式的剧第一次看，真的是要耐住性子，沉下心来看。
OliverDawson,保密,美，特别美，台词，意境，留白，音乐都是美。
牙根热,保密,其他不说了，只想说有幸我是广东人，粤语全能听懂。
一只柠檬精talk,保密,我看完总体的感受，可能我比较喜欢小青所以，就感觉白素贞真的绝，后面小青要走你就让她走呗，咋的，小青是的翅膀啊？真的从头到尾，你也不为小青想想，她为了你跟你一起水漫金山，这是多大的因？你不想成仙能ok爱怎么样就怎么样，想白素贞能为许仙水漫金山，那以后呢？水漫杭州吗？所以我觉得法海没问题这一版的，一直在劝，小青也在劝，我不懂你们这里所畏的爱。我就是一直不喜欢这种为爱能放弃一切的爱情。
云之空空空,保密,现在电影院还有放映，这么好的片子，大荧幕上看才有感觉
花样白给小天才CC,女,我看到了什么！！！！！！！
lyphqy,保密,steam白娘子游戏也很精彩
萌萌哒的蓉儿,女,美，特别美，台词，意境，留白，音乐都是美。
西宫结弦唯一老公,男,为什么我一个年度会员看不了？
烤咸鱼想成为鲜葱,女,看完了，昨天考完试，今天下午经过同意就开了会员，和妈妈一起在笔记本电脑上看的，大概半小时外婆也来了[未来有你_好耶]
宇宙七A,男,各位，你们开4k超清卡不卡呀，为啥我卡成一帧一帧的
鸽子精圈外女友,保密,拒绝酒桌文化从你我做起。
沃斯伊格诺夫,男,我是广东人，以前对于粤剧不感冒，但是看到这部电影后，我很喜欢
沃斯伊格诺夫,男,太可惜了，可能宣传力度不大的原因，我最近才看到宣传片，本来想去院线看，可惜意见晚了，画面很有美感，希望能多出一些
猫织的猫,保密,[热词系列_吹爆][热词系列_好耶]
冬菇tou,保密,为什么没有国语配音[喜极而泣]
啊呸什么鬼东西,保密,[给心心]这类的作品多一些！
